Date,Close,High,Low,Open,Volume,ticker
2026-04-29,73.69999694824219,76.9000015258789,73.6500015258789,76.3499984741211,112160625,AKBNK.IS
2026-04-30,73.19999694824219,74.05000305175781,72.8499984741211,73.0999984741211,119107754,AKBNK.IS
2026-05-04,70.6500015258789,73.5999984741211,70.4000015258789,73.3499984741211,153716653,AKBNK.IS
2026-05-05,70.69999694824219,71.5,70.19999694824219,70.75,113971461,AKBNK.IS
2026-05-06,74.3499984741211,75.44999694824219,72.1500015258789,72.5,263674524,AKBNK.IS
2026-05-07,75.19999694824219,76.44999694824219,74.5,74.75,156929000,AKBNK.IS
2026-05-08,75.25,76.1500015258789,73.9000015258789,74.6500015258789,131973117,AKBNK.IS
2026-05-11,75.8499984741211,76.0999984741211,74.19999694824219,74.9000015258789,142376341,AKBNK.IS
2026-05-12,72.75,76.19999694824219,72.75,75.75,122754063,AKBNK.IS
2026-05-13,71.55000305175781,73.69999694824219,71.05000305175781,73.5,104825683,AKBNK.IS
2026-05-14,72.3499984741211,73.44999694824219,71.30000305175781,72.0999984741211,130258986,AKBNK.IS
2026-05-15,70.25,71.44999694824219,69.75,71.3499984741211,105928792,AKBNK.IS
2026-05-18,70.0999984741211,71.1500015258789,69.0,69.80000305175781,104054753,AKBNK.IS
2026-05-20,69.0999984741211,69.80000305175781,68.75,69.25,183781142,AKBNK.IS
2026-05-21,62.20000076293945,69.5,62.20000076293945,69.0999984741211,97702960,AKBNK.IS
2026-05-22,63.599998474121094,64.44999694824219,60.650001525878906,60.849998474121094,406472082,AKBNK.IS
2026-05-25,65.4000015258789,66.05000305175781,63.70000076293945,64.19999694824219,125346119,AKBNK.IS
2026-05-26,64.0,65.5999984741211,64.0,65.0999984741211,72536655,AKBNK.IS
2026-04-29,112.30000305175781,115.69999694824219,111.80000305175781,115.4000015258789,2187189,ARCLK.IS
2026-04-30,111.9000015258789,112.69999694824219,110.80000305175781,111.5,2628629,ARCLK.IS
2026-05-04,110.0,112.5999984741211,109.30000305175781,112.19999694824219,1534742,ARCLK.IS
2026-05-05,111.30000305175781,111.80000305175781,109.30000305175781,110.0,2111803,ARCLK.IS
2026-05-06,113.5,114.5999984741211,111.9000015258789,112.0,4675445,ARCLK.IS
2026-05-07,115.0,115.69999694824219,113.5,113.5,2575795,ARCLK.IS
2026-05-08,114.19999694824219,115.4000015258789,113.4000015258789,114.69999694824219,1833627,ARCLK.IS
2026-05-11,116.4000015258789,116.69999694824219,112.5999984741211,113.69999694824219,2371470,ARCLK.IS
2026-05-12,114.69999694824219,117.69999694824219,114.4000015258789,117.0,3772840,ARCLK.IS
2026-05-13,113.4000015258789,115.9000015258789,113.19999694824219,115.5,1912014,ARCLK.IS
