ticker,publishedAt,title,description,content,source
THYAO.IS,2026-05-26 14:09:38,Aviation agency’s decision causes Russian gymnasts to nearly miss European Championship,Read Full Article at RT.com,The actions of Bulgaria’s aviation authorities have nearly cost the Russian gymnastics team their place at the European Championship. The civil aviation administration has refused to approve a charte… [+1830 chars],NewsAPI
THYAO.IS,2026-05-26 11:40:17,Bulgaria’s Charter Flight Refusal Nearly Derailed Russian Gymnasts' Trip to European Championships,"Despite problems with their transfer from Istanbul, the Russian national rhythmic gymnastics team arrived in Varna, Bulgaria, on May 26, where the 2026 European Championships will be held from May 27 to 31.","However, the team's arrival was significantly complicated after Bulgarian aviation authorities refused under a false pretext to approve a charter flight by a Turkish carrier that the Russian Gymnasti… [+804 chars]",NewsAPI
THYAO.IS,2026-05-26 11:40:00,Russian Gymnastics Team Reaches Bulgaria After Transfer Issues in Istanbul,"Despite problems with their transfer from Istanbul, the Russian national rhythmic gymnastics team arrived in Varna, Bulgaria, on May 26, where the 2026 European Championships will be held from May 27 to 31.","Get the latest news from around the world, live coverage, off-beat stories, features and analysis.
https://sputnikglobe.com/20260526/russian-gymnastics-team-reaches-bulgaria-after-transfer-issues-in… [+1924 chars]",NewsAPI
TAVHL.IS,2026-05-26 10:20:00,"Airport Operations Market Report 2026-2031: Terminal Modernization, Biometric and AI Deployment, PPP-Led Development Models and E-Commerce Logistics Demand Accelerate Investments","Key opportunities in the global Airport Operations Market include leveraging smart technologies and digital transformation for enhanced efficiency, capitalizing on PPP and privatization to boost infrastructure investment, and tapping into rising air cargo dem…","Dublin, May 26, 2026 (GLOBE NEWSWIRE) -- The ""Airport Operations Market"" has been added to ResearchAndMarkets.com's offering.
Valued at USD 96.3 billion in 2024, this market is projected to reach US… [+4633 chars]",NewsAPI
PGSUS.IS,2026-05-26 06:46:37,Sabiha Gökçen aims to become global hub as traffic rises,"Istanbul’s Sabiha Gökçen Airport is targeting a stronger position as a global connection hub, a senior executive has said, as passenger traffic continues to rise.","ISTANBUL
 Istanbuls Sabiha GökçenAirport is targeting a stronger position as a global connection hub, a senior executive has said, as passenger traffic continues to rise.
Our goal is to make ISG on… [+1281 chars]",NewsAPI
THYAO.IS,2026-05-26 06:02:07,Lost panel of ‘Gypsy Girl’ mosaic returned to Türkiye,"A missing panel of the world-renowned “Gypsy Girl” mosaic from the ancient city of Zeugma has been returned to Türkiye from the United States following coordinated scientific and diplomatic efforts, the Ministry of Culture and Tourism announced.","ANKARA
A missing panel of the world-renowned Gypsy Girl mosaic from the ancient city of Zeugma has been returned to Türkiye from the United States following coordinated scientific and diplomatic eff… [+2159 chars]",NewsAPI
MGROS.IS,2026-05-25 12:38:40,beancount-tools-collection added to PyPI,"A comprehensive collection of beancount tools: importers, price fetchers, plugins, and utilities","My personal collection of beancount tools including importers, price fetchers, plugins, and utilities for various financial institutions.
Features
 Data Importers
Swiss Institutions:
<ul><li>Yuh … [+3710 chars]",NewsAPI
THYAO.IS,2026-05-25 06:40:06,33 Best European City Breaks Under €500 – All-Inclusive Weekend Guide,"Over the past few years I’ve become adept at squeezing a full weekend of food, culture and relaxation…
The post 33 Best European City Breaks Under €500 – All-Inclusive Weekend Guide appeared first on The Frisky.","2Over the past few years Ive become adept at squeezing a full weekend of food, culture and relaxation into a budget of under 500 without sacrificing comfort.
This guide shares my favourite destinati… [+44499 chars]",NewsAPI
THYAO.IS,2026-05-25 03:00:08,Indonesia says Israeli raid on Gaza flotilla violates int'l law,The Indonesian government condemns the violence and detention carried out by Israeli forces against volunteers of the Global Sumud Flotilla (GSF) 2.0 en route ...,"Tangerang, Banten (ANTARA) - The Indonesian government condemns the violence and detention carried out by Israeli forces against volunteers of the Global Sumud Flotilla (GSF) 2.0 en route to the Gaza… [+2762 chars]",NewsAPI
THYAO.IS,2026-05-24 20:21:08,25 greatest Euroleague players ever: The HoopsHype list,Our updated list of Euroleague's greatest players,"Five years years ago, the NBA released its NBA75 list honoring its greatest players in the league's 75th anniversary. When that happened, we created our own list, which we have updated annually with … [+37001 chars]",NewsAPI
THYAO.IS,2026-05-23 20:38:20,"Cheap thrills: How to score safaris, fine dining and comfy flights on a budget",Penny packer: Lavish travel can be affordable if you book right.,"Here’s some rare good news for average Joes: You dont have to have a Wall Street-sized income to jet set like you work on Wall Street.
Many accommodations, airlines, cruises, and Michelin star resta… [+5664 chars]",NewsAPI
KCHOL.IS,2026-05-23 16:08:00,The Complete Summer Storyline Guide for the Vikings,"Every year, near the end of May, VikingsTerritory publishes a comprehensive list of Minnesota Vikings-themed storylines on the horizon for […]","Every year, near the end of May, VikingsTerritory publishes a comprehensive list of Minnesota Vikings-themed storylines on the horizon for the summer. This is the 2026 edition,
Minnesotas summer che… [+10452 chars]",NewsAPI
